url,job_title,company_name,source_website,location_primary,salary_negotiable,salary_min_vnd,salary_max_vnd,salary_currency_original,posted_datetime_str,days_to_deadline,experience_years_min_numeric,job_level,job_category_raw,skills_list_json_vnw,job_tags_list_json_cv,benefits_text,employment_type,process_timestamp,views_count,industry_domain_vnw,min_education_level_vnw,main_category_vnw,sub_category_vnw,salary_info_raw,location_info_raw,deadline_info_raw,posted_date_raw,experience_raw,skills_raw_vnw
https://www.vietnamworks.com/senior-business-analyst-1900691-jv?source=searchResults&searchType=2&placement=1900791&sortBy=date,Senior Business Analyst,Không rõ,VietnamWorks,Hà Nội,0,20000000.0,30000000.0,vnd,2025-04-24 00:00:00,14,3.0,Nhân viên,Công Nghệ Thông Tin/Viễn Thông > Data Engineer/Data Analyst/AI,"[""Agile Methodologies"", ""Business Analysis"", ""Communication Skills"", ""Market Research"", ""User Experience Development""]",,"Nghỉ phép có lương: Thử việc 02 tháng hưởng 100% mức lương chính thức.; Giải thưởng: Thưởng và review lương 2 lần/năm.; Cơ hội du lịch: Du lịch hàng năm, dã ngoại hàng quý 4 lần/năm, được hỗ trợ du lịch cùng người thân.; Khác: Trợ cấp tiền ăn trưa khi là nhân viên thử việc.",Toàn thời gian,2025-05-19T18:21:15.656155,171.0,Phần Mềm CNTT/Dịch vụ Phần mềm,Không giới hạn,Công Nghệ Thông Tin/Viễn Thông,Data Engineer/Data Analyst/AI,20tr-30tr ₫/tháng,Hà Nội,Hết hạn trong 14 ngày,24/04/2025,3,"Agile Methodologies, Business Analysis, Communication Skills, Market Research, User Experience Development"
https://www.vietnamworks.com/senior-data-analyst-experienced-in-financed-1878420-jv?source=searchResults&searchType=2&placement=1878570&sortBy=date,Senior Data Analyst ( Experienced in Financed ),Không rõ,VietnamWorks,Hà Nội,0,12500000.0,37500000.0,usd,2025-04-10 00:00:00,0,2.0,Nhân viên,Công Nghệ Thông Tin/Viễn Thông > Data Engineer/Data Analyst/AI,"[""Data Analytics"", ""Database MySQL"", ""AI""]",,Chăm sóc sức khoẻ: 14 - 16 Annual Paid Leave; Đào tạo: Bao Viet Health Care; Cơ hội du lịch: Competitive Salary & Bonus,Toàn thời gian,2025-05-19T18:21:15.656155,1088.0,Tài Chính,Không giới hạn,Công Nghệ Thông Tin/Viễn Thông,Data Engineer/Data Analyst/AI,"$ 500-1,500 /tháng",Hà Nội,Hết hạn trong 2 giờ,10/04/2025,2,"Data Analytics, Database MySQL, AI"
https://www.vietnamworks.com/senior-process-analyst--1903008-jv?source=searchResults&searchType=2&placement=1903008&sortBy=date,Senior Process Analyst,Home Credit Vietnam - Explore Your Dream Team,VietnamWorks,Hồ Chí Minh,1,,,,2025-04-29 00:00:00,19,0.0,Nhân viên,Công Nghệ Thông Tin/Viễn Thông > Phân Tích Kinh Doanh/Phân Tích Hệ Thống,"[""Project Management"", ""Process Analysis"", ""Business Analysis"", ""Business Process Transformation"", ""Audit""]",,Thưởng: 13th Salary Fixed and KPI Bonus; Chăm sóc sức khoẻ: Premium Health Care for employees (personal/family dependents); Nghỉ phép có lương: 15/18 Annual Leaves,Toàn thời gian,2025-05-19T18:21:15.656155,790.0,Tài Chính,Không giới hạn,Công Nghệ Thông Tin/Viễn Thông,Phân Tích Kinh Doanh/Phân Tích Hệ Thống,Thương lượng,Hồ Chí Minh,Hết hạn trong 19 ngày,29/04/2025,Không yêu cầu,"Project Management, Process Analysis, Business Analysis, Business Process Transformation, Audit"
https://www.vietnamworks.com/tp-hcm-chuyen-vien-cao-cap-phan-tich-kinh-doanh-1908938-jv?source=searchResults&searchType=2&placement=1908938&sortBy=date,TP HCM - Chuyên Viên Cao Cấp Phân Tích Kinh Doanh,GSM,VietnamWorks,Hồ Chí Minh,0,25000000.0,50000000.0,usd,2025-05-15 00:00:00,28,0.0,Nhân viên,Công Nghệ Thông Tin/Viễn Thông > Phân Tích Kinh Doanh/Phân Tích Hệ Thống,"[""SQL"", ""Power BI"", ""Tableu"", ""PowerPoint""]",,"Thưởng: Lương tháng 13; Chăm sóc sức khoẻ: Bảo hiểm theo quy định của pháp luật lao động, bảo hiểm sức khỏe; Đào tạo: Đào tạo kỹ năng mềm, đào tạo kỹ năng chuyên môn",Toàn thời gian,2025-05-19T18:21:15.656155,511.0,Vận tải,Không giới hạn,Công Nghệ Thông Tin/Viễn Thông,Phân Tích Kinh Doanh/Phân Tích Hệ Thống,"$ 1,000-2,000 /tháng",Hồ Chí Minh,Hết hạn trong 28 ngày,15/05/2025,Không yêu cầu,"SQL, Power BI, Tableu, PowerPoint"
https://www.vietnamworks.com/data-and-apps-engineer-1901715-jv?source=searchResults&searchType=2&placement=1901715&sortBy=date,Data and Apps Engineer,United Nations International School of Hanoi,VietnamWorks,Hà Nội,1,,,,2025-04-25 00:00:00,15,2.0,Nhân viên,Công Nghệ Thông Tin/Viễn Thông > Data Engineer/Data Analyst/AI,"[""Application Development"", ""Critical Thinking"", ""Data Science"", ""Data Transformation"", ""English""]",,"Thưởng: Competitive remuneration, fixed 13th and 14th month salary; Chăm sóc sức khoẻ: Premium healthcare for employee, spouse and junior dependents; Nghỉ phép có lương: 20 days of paid annual leave per year; Đào tạo: Training opportunities; Khác: Health and Wellness programmes",Toàn thời gian,2025-05-19T18:21:15.656155,935.0,Giáo dục/Đào Tạo,Cử nhân,Công Nghệ Thông Tin/Viễn Thông,Data Engineer/Data Analyst/AI,Thương lượng,Hà Nội,Hết hạn trong 15 ngày,25/04/2025,2,"Application Development, Critical Thinking, Data Science, Data Transformation, English"
https://www.vietnamworks.com/sap-senior-consultant-sap-pm-or-pp-module-1908181-jv?source=searchResults&searchType=2&placement=1908181&sortBy=date,SAP Senior Consultant - SAP PM or PP Module,Deloitte Consulting SEA,VietnamWorks,Hồ Chí Minh,1,,,,2025-05-14 00:00:00,27,0.0,Nhân viên,Công Nghệ Thông Tin/Viễn Thông > Phân Tích Kinh Doanh/Phân Tích Hệ Thống,"[""SAP"", ""Consulting"", ""Information Technology"", ""SAP Consulting"", ""Manufacturing Operations""]",,Thưởng: Performance Bonus; Chăm sóc sức khoẻ: Premium Healthcare Plan; Cơ hội du lịch: SEA Team Building,Toàn thời gian,2025-05-19T18:21:15.656155,109.0,Phần Mềm CNTT/Dịch vụ Phần mềm,Không giới hạn,Công Nghệ Thông Tin/Viễn Thông,Phân Tích Kinh Doanh/Phân Tích Hệ Thống,Thương lượng,"Hồ Chí Minh, Hà Nội",Hết hạn trong 27 ngày,14/05/2025,Không yêu cầu,"SAP, Consulting, Information Technology, SAP Consulting, Manufacturing Operations"
https://www.vietnamworks.com/it-dba-operations-1900852-jv?source=searchResults&searchType=2&placement=1900852&sortBy=date,IT DBA Operations,Techcombank,VietnamWorks,Hà Nội,1,,,,2025-04-24 00:00:00,14,4.0,Nhân viên,Công Nghệ Thông Tin/Viễn Thông > Data Engineer/Data Analyst/AI,"[""Incident Management"", ""MS SQL"", ""Risk Assessment"", ""Database Operations"", ""Data Manipulation Languages""]",,Thưởng: Bank's Policy,Toàn thời gian,2025-05-19T18:21:15.656155,504.0,Ngân hàng,Cử nhân,Công Nghệ Thông Tin/Viễn Thông,Data Engineer/Data Analyst/AI,Thương lượng,Hà Nội,Hết hạn trong 14 ngày,24/04/2025,4,"Incident Management, MS SQL, Risk Assessment, Database Operations, Data Manipulation Languages"
https://www.vietnamworks.com/ai-engineer-1905753-jv?source=searchResults&searchType=2&placement=1905753&sortBy=date,AI Engineer,"TOSY Robotics Manufacturing Co., Ltd",VietnamWorks,Hà Nội,1,,,,2025-05-08 00:00:00,21,1.0,Nhân viên,Công Nghệ Thông Tin/Viễn Thông > Data Engineer/Data Analyst/AI,"[""Python"", ""OpenCV"", ""NumPy"", ""TensorFlow"", ""Khoa Học Máy Tính"", ""NumPy""]",,"Thưởng: Nhiều cơ hội để thăng tiến và hưởng mức thu nhập cạnh tranh; Chăm sóc sức khoẻ: Chế độ bảo hiểm, nghỉ lễ, thưởng tháng 13 đầy đủ theo quy định pháp luật.; Đào tạo: Được đào tạo và hỗ trợ phát triển chuyên môn sâu về AI, Robotics, Vision.; Giải thưởng: Làm việc và phát triển trong môi trường công nghệ đầy sáng tạo, hiện đại, nhiều thách thức",Toàn thời gian,2025-05-19T18:21:15.656155,474.0,Điện/Điện tử,Cử nhân,Công Nghệ Thông Tin/Viễn Thông,Data Engineer/Data Analyst/AI,Thương lượng,Hà Nội,Hết hạn trong 21 ngày,08/05/2025,1,"Python, OpenCV, NumPy, TensorFlow, Khoa Học Máy Tính, NumPy"
https://www.vietnamworks.com/ky-su-du-lieu-data-engineer-1901705-jv?source=searchResults&searchType=2&placement=1901705&sortBy=date,Kỹ Sư Dữ Liệu (Data Engineer),Công Ty Cổ Phần Chứng Khoán MB,VietnamWorks,Hà Nội,1,,,,2025-04-25 00:00:00,15,3.0,Nhân viên,Công Nghệ Thông Tin/Viễn Thông > Data Engineer/Data Analyst/AI,"[""Data Pipeline"", ""Data Warehouse Systems"", ""PostgreSQL"", ""SQL Server"", ""SQL Server""]",,"Chăm sóc sức khoẻ: Được hưởng chế độ BHXH, BHYT, BHTN, Bảo hiểm sức khỏe theo quy định của Công ty.; Hoạt động nhóm: Môi trường làm việc chuyên nghiệp, thân thiện, năng động.; Khác: Thời gian làm việc 5 ngày/tuần (từ thứ Hai đến thứ Sáu).",Toàn thời gian,2025-05-19T18:21:15.656155,550.0,Tài Chính,Cử nhân,Công Nghệ Thông Tin/Viễn Thông,Data Engineer/Data Analyst/AI,Thương lượng,Hà Nội,Hết hạn trong 15 ngày,25/04/2025,3,"Data Pipeline, Data Warehouse Systems, PostgreSQL, SQL Server, SQL Server"
https://www.vietnamworks.com/business-analyst-tieng-nhat-1899079-jv?source=searchResults&searchType=2&placement=1899079&sortBy=date,Business Analyst (TIẾNG NHẬT),CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN DIQIT VIỆT NAM,VietnamWorks,Hồ Chí Minh,0,25000000.0,37500000.0,usd,2025-04-25 00:00:00,15,3.0,Nhân viên,Công Nghệ Thông Tin/Viễn Thông > Phân Tích Kinh Doanh/Phân Tích Hệ Thống,"[""Business Administration"", ""Customer Loyalty Management"", ""Japanese proficiency"", ""Sales Experience"", ""Accounting""]",,Thưởng: 13-month bonus program; Chăm sóc sức khoẻ: Full salary Insurance Health Care Insurance package; Nghỉ phép có lương: 14 days Annual Leave & 11 days public holiday according to Vietnamese Law; Đào tạo: Training Allowance: External Training Course; Máy tính xách tay: Support Laptop & Monitor,Toàn thời gian,2025-05-19T18:21:15.656155,699.0,Phần Mềm CNTT/Dịch vụ Phần mềm,Cử nhân,Công Nghệ Thông Tin/Viễn Thông,Phân Tích Kinh Doanh/Phân Tích Hệ Thống,"$ 1,000-1,500 /tháng",Hồ Chí Minh,Hết hạn trong 15 ngày,25/04/2025,3,"Business Administration, Customer Loyalty Management, Japanese proficiency, Sales Experience, Accounting"
